"""Institution""",State,HD2022.Level of institution,HD2022.Control of institution,SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,DRVADM2022.Percent admitted - total,SAT Composite 25th percentile score,SAT Composite 50th percentile score,SAT Composite 75th Percentile Score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,national.html,artsandhumanities.html,businessandeconomics.html,clinicalandhealth.html,computerscience.html,education.html,engineering.html,law.html,lifesciences.html,physicalsciences.html,psychology.html,socialsciences.html,
"""Mineral County Vocational Technical Center""",West Virginia,Less than 2 years (below associate),Public,75,3503,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Hypnosis Motivation Institute""",California,Less than 2 years (below associate),Private not-for-profit,98,43041,45504,41984,0,48329,,,,0,0,0,,,,,,,,,,,,,,,,
"""Thanh Le College School of Cosmetology""",California,Less than 2 years (below associate),Private for-profit,93,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southeastern Technical College""",Georgia,At least 2 but less than 4 years,Public,100,4385,5397,9153,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Massachusetts School of Law""",Massachusetts,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Alliance Career Center""",Ohio,Less than 2 years (below associate),Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando""",Florida,At least 2 but less than 4 years,Private for-profit,93,20059,20625,22676,24051,24864,,,,0,0,0,,,,,,,,,,,,,,,,
"""Erwin Technical College""",Florida,At least 2 but less than 4 years,Public,73,9652,9515,11230,7440,6544,,,,0,0,0,,,,,,,,,,,,,,,,
"""Rosel School of Cosmetology""",Illinois,Less than 2 years (below associate),Private for-profit,83,7278,8547,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Worsham College of Mortuary Science""",Illinois,At least 2 but less than 4 years,Private for-profit,63,22327,22776,0,0,0,,,76,0,0,0,,,,,,,,,,,,,,,,
"""Bryan University""",Missouri,Four or more years,Private for-profit,84,18576,21072,20518,23828,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Oregon College of Oriental Medicine""",Oregon,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Central Pennsylvania Institute of Science and Technology""",Pennsylvania,At least 2 but less than 4 years,Public,81,7471,5827,7511,10397,15395,,,83,0,0,0,,,,,,,,,,,,,,,,
"""Northwest Educational Center""",Texas,Less than 2 years (below associate),Private for-profit,100,10584,11962,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Sebring Career Schools-Houston""",Texas,Less than 2 years (below associate),Private for-profit,19,11848,0,9647,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""PCI Health Training Center""",Texas,Less than 2 years (below associate),Private for-profit,95,16496,16875,18735,21865,22633,,,,0,0,0,,,,,,,,,,,,,,,,
"""Hamrick School""",Ohio,Less than 2 years (below associate),Private for-profit,76,3164,4548,8608,8762,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fortis College""",Alabama,Less than 2 years (below associate),Private for-profit,93,24418,23473,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Downey Adult School""",California,At least 2 but less than 4 years,Public,86,10747,11973,13205,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""CRU Institute of Cosmetology and Barbering""",California,Less than 2 years (below associate),Private for-profit,76,16604,16009,20137,22310,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Modern Technology School""",California,At least 2 but less than 4 years,Private for-profit,78,19644,21068,21074,21031,21100,,,,0,0,0,,,,,,,,,,,,,,,,
"""National Career Education""",California,Less than 2 years (below associate),Private for-profit,85,25897,27972,28239,30580,31338,,,,0,0,0,,,,,,,,,,,,,,,,
"""North-West College-Glendale""",California,Less than 2 years (below associate),Private for-profit,78,32746,33264,34579,35964,36490,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fremont University""",California,Four or more years,Private for-profit,92,30957,25393,34036,0,33573,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pomona Unified School District Adult and Career Education""",California,Less than 2 years (below associate),Public,72,4355,5163,6758,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Universal College of Beauty Inc-Los Angeles 2""",California,Less than 2 years (below associate),Private for-profit,100,10944,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""IBMC College""",Colorado,At least 2 but less than 4 years,Private for-profit,100,18641,23026,24539,25125,25999,,,,0,0,0,,,,,,,,,,,,,,,,
"""Avalon Institute-Aurora""",Colorado,Less than 2 years (below associate),Private for-profit,100,18715,18690,19183,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Academy of Cosmetology""",Florida,Less than 2 years (below associate),Private for-profit,62,16621,14128,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Sunstate Academy""",Florida,Less than 2 years (below associate),Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fortis College-Smyrna""",Georgia,At least 2 but less than 4 years,Private for-profit,98,19535,19753,22475,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ross College-Davenport""",Iowa,At least 2 but less than 4 years,Private for-profit,100,19535,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pivot Point Academy""",Illinois,Less than 2 years (below associate),Private for-profit,83,11083,13719,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Blalock's Professional Beauty College""",Louisiana,Less than 2 years (below associate),Private for-profit,100,17620,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Diesel Driving Academy-Baton Rouge""",Louisiana,Less than 2 years (below associate),Private for-profit,63,14025,17920,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""New England Hair Academy""",Massachusetts,Less than 2 years (below associate),Private for-profit,93,23289,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Rob Roy Academy-Worcester""",Massachusetts,Less than 2 years (below associate),Private for-profit,100,21940,24868,27108,28366,28366,,,,0,0,0,,,,,,,,,,,,,,,,
"""Upper Cape Cod Regional Technical School""",Massachusetts,Less than 2 years (below associate),Public,96,18150,20545,0,0,24490,,,86,0,0,0,,,,,,,,,,,,,,,,
"""All-State Career-Baltimore""",Maryland,Less than 2 years (below associate),Private for-profit,78,20226,19800,21321,22383,23431,,,,0,0,0,,,,,,,,,,,,,,,,
"""Adler Graduate School""",Minnesota,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Academy of Hair Design-Jackson""",Mississippi,Less than 2 years (below associate),Private for-profit,100,19253,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""KC's School of Hair Design""",Mississippi,Less than 2 years (below associate),Private for-profit,93,7171,8027,6315,11988,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Lincoln Technical Institute-Moorestown""",New Jersey,Less than 2 years (below associate),Private for-profit,98,37069,37245,37572,39654,41479,,,,0,0,0,,,,,,,,,,,,,,,,
"""MCVSD""",New Jersey,Less than 2 years (below associate),Public,100,18374,18818,24305,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""National Tractor Trailer School Inc-Buffalo""",New York,Less than 2 years (below associate),Private for-profit,76,14576,14640,14489,16785,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Yeshiva Gedolah Imrei Yosef D'spinka""",New York,Four or more years,Private not-for-profit,92,7907,8022,0,10155,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Knox County Career Center""",Ohio,Less than 2 years (below associate),Public,100,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Madison Adult Career Center""",Ohio,At least 2 but less than 4 years,Public,90,10832,0,11195,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Remington College-Cleveland Campus""",Ohio,At least 2 but less than 4 years,Private not-for-profit,100,22016,21758,20898,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Toledo Academy of Beauty Culture-East""",Ohio,Less than 2 years (below associate),Private for-profit,31,7343,8402,7536,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Brown & Clermont Adult Career Campuses""",Ohio,Less than 2 years (below associate),Public,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Chisholm Trail Technology Center""",Oklahoma,Less than 2 years (below associate),Public,100,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Gordon Cooper Technology Center""",Oklahoma,At least 2 but less than 4 years,Public,71,1625,7432,7583,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Kiamichi Technology Center-McAlester""",Oklahoma,Less than 2 years (below associate),Public,79,7960,8078,6173,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""YTI Career Institute-Altoona""",Pennsylvania,At least 2 but less than 4 years,Private for-profit,97,16981,17344,19590,20199,19081,,,,0,0,0,,,,,,,,,,,,,,,,
"""Eastern Center for Arts and Technology""",Pennsylvania,Less than 2 years (below associate),Public,100,25664,0,0,0,0,,,62,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-Center City Philadelphia""",Pennsylvania,Less than 2 years (below associate),Private for-profit,80,17457,17304,19356,19525,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Academy of Hair Technology""",South Carolina,Less than 2 years (below associate),Private for-profit,100,14491,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mr Wayne's School of Unisex Hair Design""",Tennessee,Less than 2 years (below associate),Private for-profit,69,15660,15714,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Queen City College""",Tennessee,Less than 2 years (below associate),Private for-profit,100,4577,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Remington College-Fort Worth Campus""",Texas,Four or more years,Private not-for-profit,94,25680,27710,28618,26986,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""UCAS University of Cosmetology Arts & Sciences""",Texas,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""School of Automotive Machinists & Technology""",Texas,At least 2 but less than 4 years,Private for-profit,73,24750,25584,26078,30723,30723,,,77,0,0,0,,,,,,,,,,,,,,,,
"""Nuvani Institute""",Texas,Less than 2 years (below associate),Private for-profit,94,18976,20107,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Nuvani Institute""",Texas,Less than 2 years (below associate),Private for-profit,98,17772,17889,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Texas College of Cosmetology-Abilene""",Texas,Less than 2 years (below associate),Private for-profit,73,15631,16964,19560,21002,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Centura College-Newport News""",Virginia,Less than 2 years (below associate),Private for-profit,69,25703,31461,29294,31461,31461,,,,0,0,0,,,,,,,,,,,,,,,,
"""Centura College-Norfolk""",Virginia,At least 2 but less than 4 years,Private for-profit,91,27238,26321,29358,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Virginia Beach City Public Schools School of Practical Nursing""",Virginia,Less than 2 years (below associate),Public,75,1654,2804,1654,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Northwest College of Art & Design""",Washington,Four or more years,Private for-profit,88,13901,12685,18216,26850,27726,,,68,0,0,0,,,,,,,,,,,,,,,,
"""University of Washington-Bothell Campus""",Washington,Four or more years,Public,55,5019,5999,8992,16235,22455,32462,60960,88,1210,1335,1450,22,26,30,,,,,,,,,,,,,
"""University of Washington-Tacoma Campus""",Washington,Four or more years,Public,77,5253,5636,8832,15131,21342,31040,59538,88,0,0,0,,,,,,,,,,,,,,,,
"""Huntington School of Beauty Culture""",West Virginia,At least 2 but less than 4 years,Private for-profit,56,8885,9644,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Valley College-Beckley""",West Virginia,At least 2 but less than 4 years,Private for-profit,98,24209,24362,26660,22612,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Valley College-Martinsburg""",West Virginia,Four or more years,Private for-profit,99,24356,23009,24576,27866,31161,,,,0,0,0,,,,,,,,,,,,,,,,
"""Bellus Academy-Poway""",California,At least 2 but less than 4 years,Private for-profit,94,29394,0,32119,34292,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Capstone College""",California,Less than 2 years (below associate),Private for-profit,84,16646,18670,20228,22685,23141,,,,0,0,0,,,,,,,,,,,,,,,,
"""Central Coast College""",California,At least 2 but less than 4 years,Private for-profit,87,24311,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pacific College of Health and Science""",California,Four or more years,Private for-profit,83,26309,0,0,29323,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Artistic Nails and Beauty Academy-Tampa""",Florida,Less than 2 years (below associate),Private for-profit,58,12328,14612,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""National Aviation Academy of Tampa Bay""",Florida,At least 2 but less than 4 years,Private for-profit,88,26737,27981,29460,32930,33035,,,,0,0,0,,,,,,,,,,,,,,,,
"""Madison Oneida BOCES-Practical Nursing Program""",New York,Less than 2 years (below associate),Public,100,18716,14291,16362,24663,21928,,,78,0,0,0,,,,,,,,,,,,,,,,
"""College of Health Care Professions""",Texas,At least 2 but less than 4 years,Private for-profit,77,27104,27349,31685,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Center for Advanced Legal Studies""",Texas,At least 2 but less than 4 years,Private for-profit,82,11763,11380,13462,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Houston Training School-Main Campus""",Texas,Less than 2 years (below associate),Private for-profit,96,5425,6270,8254,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Bay Mills Community College""",Michigan,Four or more years,Public,100,6181,6944,6716,9983,9805,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fond du Lac Tribal and Community College""",Minnesota,Four or more years,Public,95,8700,10498,12920,16465,16465,20867,20867,,0,0,0,,,,,,,,,,,,,,,,
"""Northwest Indian College""",Washington,Four or more years,Public,100,1144,-1049,2836,8135,0,13951,13951,,0,0,0,,,,,,,,,,,,,,,,
"""Provo College""",Utah,Four or more years,Private for-profit,92,32447,36448,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""CET-Coachella""",California,Less than 2 years (below associate),Private not-for-profit,83,9285,13144,17615,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""CET-Oxnard""",California,Less than 2 years (below associate),Private not-for-profit,73,4465,0,0,0,19666,,,,0,0,0,,,,,,,,,,,,,,,,
"""CET-Santa Maria""",California,Less than 2 years (below associate),Private not-for-profit,80,8347,14846,1385,4090,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Colorado School of Traditional Chinese Medicine""",Colorado,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Michigan College of Beauty-Troy""",Michigan,Less than 2 years (below associate),Private for-profit,81,18563,0,21953,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ogle School Hair Skin Nails-Dallas""",Texas,Less than 2 years (below associate),Private for-profit,93,19371,18694,19768,21864,23597,,,,0,0,0,,,,,,,,,,,,,,,,
"""Phoenix Seminary""",Arizona,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Faust Institute of Cosmetology-Spirit Lake""",Iowa,At least 2 but less than 4 years,Private for-profit,90,5381,4780,3975,0,10725,,,,0,0,0,,,,,,,,,,,,,,,,
"""Cheeks Beauty Academy""",Colorado,Less than 2 years (below associate),Private for-profit,79,9567,9580,13400,14200,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Colorado School of Healing Arts""",Colorado,Less than 2 years (below associate),Private for-profit,100,44919,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mt. Diablo Adult Education-Mt. Diablo USD""",California,Less than 2 years (below associate),Public,78,17151,16290,16120,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Greater Lowell Technical School""",Massachusetts,Less than 2 years (below associate),Public,31,0,0,0,26600,26600,,,100,0,0,0,,,,,,,,,,,,,,,,
"""Academy of Hair Design-Pearl""",Mississippi,Less than 2 years (below associate),Private for-profit,83,19957,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Genesis Career College-Lebanon""",Tennessee,Less than 2 years (below associate),Private for-profit,96,12563,11039,14918,17688,16372,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southwest College for the Deaf""",Texas,At least 2 but less than 4 years,Public,100,3377,3781,9754,0,0,16247,25967,,0,0,0,,,,,,,,,,,,,,,,
"""Fortis College-Richmond""",Virginia,At least 2 but less than 4 years,Private for-profit,90,26667,25977,27943,31130,31130,,,,0,0,0,,,,,,,,,,,,,,,,
"""Midwest College of Oriental Medicine-Racine""",Wisconsin,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Hacienda La Puente Adult Education""",California,At least 2 but less than 4 years,Public,17,4290,4384,0,0,0,,,94,0,0,0,,,,,,,,,,,,,,,,
"""La Belle Beauty Academy""",Florida,Less than 2 years (below associate),Private for-profit,21,19747,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Hawaii Community College""",Hawaii,At least 2 but less than 4 years,Public,82,8669,9677,10526,11567,15523,16706,21842,,0,0,0,,,,,,,,,,,,,,,,
"""Robert Fiance Beauty Schools-North Plainfield""",New Jersey,Less than 2 years (below associate),Private for-profit,89,10229,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Long Island Beauty School-Hauppauge""",New York,Less than 2 years (below associate),Private for-profit,100,23829,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Buckeye Joint Vocational School""",Ohio,Less than 2 years (below associate),Public,78,6865,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Sandusky Career Center""",Ohio,Less than 2 years (below associate),Public,100,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Greater Altoona Career & Technology Center""",Pennsylvania,Less than 2 years (below associate),Public,100,9860,12171,16159,18158,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Central Texas Beauty College-Temple""",Texas,Less than 2 years (below associate),Private for-profit,90,8934,8983,11865,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program""",New York,Less than 2 years (below associate),Public,100,0,0,15279,0,0,,,52,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-Brooklyn""",New York,Less than 2 years (below associate),Private for-profit,91,17298,17982,19804,21875,22111,,,,0,0,0,,,,,,,,,,,,,,,,
"""Eastern New Mexico University Ruidoso Branch Community College""",New Mexico,At least 2 but less than 4 years,Public,86,3044,1352,4508,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""UEI College-Ontario""",California,Less than 2 years (below associate),Private for-profit,100,27764,27086,29043,31437,32411,,,,0,0,0,,,,,,,,,,,,,,,,
"""UEI College-Reseda""",California,Less than 2 years (below associate),Private for-profit,100,25157,25056,26137,30058,30163,,,,0,0,0,,,,,,,,,,,,,,,,
"""Beacon College""",Florida,Four or more years,Private not-for-profit,94,23097,27025,39114,41098,44131,68414,68414,52,0,0,0,,,,,,,,,,,,,,,,
"""Acupuncture and Integrative Medicine College-Berkeley""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Estrella Mountain Community College""",Arizona,At least 2 but less than 4 years,Public,100,9840,10197,12819,14698,15686,,,,0,0,0,,,,,,,,,,,,,,,,
"""Heartland Community College""",Illinois,At least 2 but less than 4 years,Public,86,9670,10279,11891,14668,15378,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of the Potomac-Washington DC Campus""",District of Columbia,Four or more years,Private for-profit,17,16937,18277,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Rabbi Jacob Joseph School""",New Jersey,Four or more years,Private not-for-profit,93,1303,2624,0,11281,0,20300,20300,73,0,0,0,,,,,,,,,,,,,,,,
"""The Salon Professional Academy-Melbourne""",Florida,Less than 2 years (below associate),Private for-profit,87,18169,0,17233,22463,18539,,,,0,0,0,,,,,,,,,,,,,,,,
"""Albert Einstein College of Medicine""",New York,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fortis Institute-Scranton""",Pennsylvania,At least 2 but less than 4 years,Private for-profit,100,34245,36886,36926,37203,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Everglades University""",Florida,Four or more years,Private not-for-profit,77,27333,30922,32734,32771,36215,,,70,0,0,0,,,,,,,,,,,,,,,,
"""Seminar L'moros Bais Yaakov""",New York,At least 2 but less than 4 years,Private not-for-profit,95,14823,14740,14303,14931,16998,,,86,0,0,0,,,,,,,,,,,,,,,,
"""Herzing University-Orlando""",Florida,Four or more years,Private not-for-profit,97,21091,23766,23019,21376,23015,,,94,0,0,0,,,,,,,,,,,,,,,,
"""Cortiva Institute""",Florida,Less than 2 years (below associate),Private for-profit,82,28076,24975,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""College of Biblical Studies-Houston""",Texas,Four or more years,Private not-for-profit,92,14022,14471,14378,14724,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Inner State Beauty School""",Ohio,At least 2 but less than 4 years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mid-EastCTC-Adult Education""",Ohio,Less than 2 years (below associate),Public,33,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Polaris Career Center""",Ohio,Less than 2 years (below associate),Public,64,11062,10071,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""P&A Scholars Beauty School""",Michigan,Less than 2 years (below associate),Private for-profit,91,15367,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Sharp's Academy of Hairstyling""",Michigan,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
