Institution,State,IC2022.Typical room charge for academic year,IC2022.Typical board charge for academic year,IC2022.Combined charge for room and board,DRVEF2022.Percent of first-time undergraduates - in-state,DRVEF2022.Percent of first-time undergraduates - out-of-state,DRVEF2022.Percent of first-time undergraduates - foreign countries,"SFA2122.Percent of undergraduate students awarded federal, state, local, institutional or other sources of grant aid","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVADM2022.Percent admitted - total,DRVADM2022.Admissions yield - total,"DRVIC2022.Tuition and fees, 2022-23",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,HD2022.Sector of institution,HD2022.Level of institution,HD2022.Control of institution,DRVEF2022.Percent of total enrollment that are American Indian or Alaska Native,DRVEF2022.Percent of total enrollment that are Asian,DRVEF2022.Percent of total enrollment that are Black or African American,DRVEF2022.Percent of total enrollment that are Hispanic/Latino,DRVEF2022.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander,DRVEF2022.Percent of total enrollment that are White,DRVEF2022.Percent of total enrollment that are U.S. Nonresident,DRVEF2022.Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander,"DRVGR2022.Graduation rate, total cohort","DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, U.S. Nonresident",SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average amount of federal, state, local or institutional grant aid awarded",ADM2022.SAT Evidence-Based Reading and Writing 25th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 50th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 75th percentile score,ADM2022.SAT Math 25th percentile score,ADM2022.SAT Math 50th percentile score,ADM2022.SAT Math 75th percentile score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,ADM2022.ACT English 25th percentile score,ADM2022.ACT English 50th percentile score,ADM2022.ACT English 75th percentile score,ADM2022.ACT Math 25th percentile score,ADM2022.ACT Math 50th percentile score,ADM2022.ACT Math 75th percentile score
Miami University-Middletown,Ohio,,,,99,1,0,43,13405,11173,12611,14389,16018,15852,,,,,,,,,7072,,,"Public, 4-year or above",Four or more years,Public,0,2,6,4,0,74,9,2,23,0,50,50,,0,44,23,0,88,5028,,,,,,,,,,,,,,,
Miami University-Oxford,Ohio,9671,5782,,62,36,2,79,23031,16970,18309,23621,25398,26610,,,,,,,88,15,17264,37218,58247,"Public, 4-year or above",Four or more years,Public,0,3,3,5,0,78,6,3,81,44,80,80,100,68,83,83,71,96,14752,600,640,690,600,650,700,26,28,30,25,28,32,25,27,30
Moler Hollywood Beauty Academy,Ohio,,,,100,0,0,99,,,,,,,9962,9352,12117,13530,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,1,53,7,0,36,0,1,95,,,,,,,,,100,4518,,,,,,,,,,,,,,,
Miami Valley Career Technology Center,Ohio,,,,100,0,0,75,11802,8074,11059,14128,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,0,39,3,0,51,0,0,88,,,,,,,,,78,3196,,,,,,,,,,,,,,,
Mount Carmel College of Nursing,Ohio,,,,100,0,0,60,,,,,,,15006,10190,16916,15880,10906,19294,63,58,13290,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,6,23,3,0,63,0,6,65,,,,,60,0,66,,95,5312,,,,,,,16,17,21,15,17,22,16,16,23
University of Mount Union,Ohio,5600,5600,,82,18,0,97,,,,,,,23259,18727,16818,21356,24562,25511,76,21,33800,46856,46856,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,7,3,0,78,3,1,62,33,73,78,50,27,48,68,40,100,22459,480,530,590,480,530,590,19,22,26,16,21,25,19,23,28
Mount Vernon Nazarene University,Ohio,5660,3952,,85,13,2,79,,,,,,,23391,23520,20646,21553,22058,25414,85,32,34168,49380,49380,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,3,3,0,87,0,1,69,,0,0,,50,70,70,100,100,23202,485,560,610,478,555,618,18,22,25,17,21,25,18,22,25
Mount Saint Joseph University,Ohio,5300,5350,,74,26,0,71,,,,,,,17506,12779,12673,14583,19182,22432,54,26,34900,47750,47750,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,8,3,0,82,0,2,51,0,100,100,,30,33,54,,100,25149,530,570,640,538,570,593,21,24,27,20,24,27,18,22,25
Zane State College,Ohio,,,,100,0,0,48,7609,5784,7174,9399,11254,10868,,,,,,,,,5706,,,"Public, 4-year or above",Four or more years,Public,0,1,2,2,0,87,0,1,54,,,,,50,0,57,,86,5981,,,,,,,,,,,,,,,
Muskingum University,Ohio,6250,5990,,78,22,0,86,,,,,,,19682,15189,16107,18799,22306,23540,86,18,30690,46008,46008,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,6,2,0,70,1,1,60,,100,100,,15,75,60,77,97,24048,480,530,560,470,520,560,17,19,22,15,18,21,16,18,23
National Beauty College,Ohio,,,,100,0,0,45,,,,,,,,,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,1,34,1,0,61,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
North Central State College,Ohio,,,,95,0,0,46,3885,3020,3735,5323,7270,7921,,,,,,,,,4624,,,"Public, 4-year or above",Four or more years,Public,0,1,4,4,0,84,0,1,27,100,40,50,0,13,0,26,0,99,6426,,,,,,,,,,,,,,,
Northern Institute of Cosmetology,Ohio,,,,100,0,0,92,,,,,,,3698,3843,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,33,24,0,30,0,0,54,,,,,,,,,77,6108,,,,,,,,,,,,,,,
Northwest State Community College,Ohio,,,,98,2,0,37,10909,10165,10851,12776,13910,15311,,,,,,,,,4578,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,0,2,7,0,51,0,0,45,0,,,,,50,44,,95,6381,,,,,,,,,,,,,,,
Toledo Public Schools Adult and Continuing Education,Ohio,,,,100,0,0,86,11701,11594,13749,,,,,,,,,,,,,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,0,80,10,0,10,0,0,52,,,,,48,100,83,,100,4769,,,,,,,,,,,,,,,
Notre Dame College,Ohio,5730,5784,,61,29,10,74,,,,,,,20151,11475,13582,14919,15949,20007,79,9,31950,48118,48118,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,25,4,0,54,7,1,42,,67,50,100,30,55,47,64,100,24299,,,,,,,,,,,,,,,
Northeast Ohio Medical University,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,"Public, 4-year or above",Four or more years,Public,0,22,7,10,0,53,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Northwestern Ohio,Ohio,2950,4820,,36,60,4,58,,,,,,,16860,14769,15567,20045,22628,22227,,,12470,25170,25170,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,1,4,6,0,79,5,1,59,56,100,100,100,39,50,62,28,93,6580,,,,,,,,,,,,,,,
Oberlin College,Ohio,9124,9266,,6,84,7,92,,,,,,,46462,13725,14517,24649,28559,46404,35,23,62024,84230,84230,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,5,5,8,0,61,10,5,83,,90,90,,84,84,83,85,100,35040,690,730,760,670,720,770,30,32,33,33,35,35,27,29,32
Ohio Technical College,Ohio,,,,43,49,0,71,,,,,,,21803,17458,17485,21877,24604,25834,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,1,18,10,0,66,0,1,60,50,0,0,,46,46,68,,77,4503,,,,,,,,,,,,,,,
Ohio Dominican University,Ohio,6300,5550,,90,6,4,92,,,,,,,21881,18418,21348,22762,23831,26542,52,18,33350,48364,48364,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,2,20,5,0,57,6,2,51,100,50,50,,45,33,58,43,100,23646,,,,,,,22,25,27,20,23,25,20,26,26
Ohio Northern University,Ohio,6500,6400,,83,16,0,88,,,,,,,27398,21404,23938,22248,27147,29598,54,18,36730,53163,53163,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,3,0,0,79,2,2,72,33,89,89,,43,63,75,100,99,24235,570,620,660,590,630,680,25,27,30,23,26,30,24,27,29
Ohio State University Agricultural Technical Institute,Ohio,,,9438,99,1,0,69,17782,13812,13668,16611,20358,21223,,,,,,,,,8998,23916,48153,"Public, 2-year",At least 2 but less than 4 years,Public,0,0,1,2,0,93,0,0,50,100,,,,0,40,52,100,86,5937,,,,,,,,,,,,,,,
Ohio State University-Lima Campus,Ohio,,,,100,0,0,70,13086,9465,9790,11823,15421,16878,,,,,,,,,8944,,,"Public, 4-year or above",Four or more years,Public,0,2,5,4,0,81,0,2,21,0,38,38,,11,25,23,100,86,5766,,,,,,,,,,,,,,,
Ohio State University-Mansfield Campus,Ohio,,,9438,99,1,0,66,15988,12615,13529,16328,19664,20588,,,,,,,,,8944,23862,48099,"Public, 4-year or above",Four or more years,Public,0,4,9,5,0,75,0,4,16,,4,4,,2,11,21,,84,7083,,,,,,,,,,,,,,,
Ohio State University-Marion Campus,Ohio,,,,100,0,0,72,13377,9109,9738,11158,15511,16323,,,,,,,,,8944,,,"Public, 4-year or above",Four or more years,Public,0,7,4,5,0,75,1,7,17,0,11,12,0,36,8,18,0,82,5147,,,,,,,,,,,,,,,
Ohio State University-Newark Campus,Ohio,,,9438,99,1,0,70,15024,11852,12608,14455,18098,19005,,,,,,,,,8944,23862,48099,"Public, 4-year or above",Four or more years,Public,0,7,18,5,0,62,0,7,34,0,31,32,0,16,28,40,100,80,6718,,,,,,,,,,,,,,,
Ohio State Beauty Academy,Ohio,,,,100,0,0,55,,,,,,,5271,4306,8128,7886,8418,10501,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,11,2,0,78,0,0,50,,,,,33,100,54,,94,5102,,,,,,,,,,,,,,,
Ohio State College of Barber Styling,Ohio,,,,99,0,0,95,,,,,,,13758,13961,16781,17893,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,58,5,0,32,0,0,80,,100,100,,81,67,79,,100,4597,,,,,,,,,,,,,,,
The Spa School,Ohio,,,,100,0,0,61,,,,,,,18071,17196,16821,19041,20905,20622,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,2,3,25,0,1,62,0,4,66,,75,67,100,55,60,69,,77,3458,,,,,,,,,,,,,,,
Ohio State School of Cosmetology-Canal Winchester,Ohio,,,,100,0,0,68,,,,,,,16617,14640,14984,19105,19363,19449,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,3,34,0,0,58,0,3,59,,100,100,,57,100,54,,81,3074,,,,,,,,,,,,,,,
Ohio State University-Main Campus,Ohio,,,14006,66,23,11,72,19582,6956,8402,13620,22528,26186,,,,,,,53,23,12485,30185,54422,"Public, 4-year or above",Four or more years,Public,0,9,8,6,0,61,10,9,88,100,92,92,100,76,85,89,88,83,10993,640,680,720,670,720,760,29,30,32,28,32,34,27,29,32
Ohio University-Eastern Campus,Ohio,,,,99,1,0,15,7478,6051,6053,7174,10984,11368,,,,,,,,,6004,,,"Public, 4-year or above",Four or more years,Public,0,1,3,2,0,84,1,1,16,0,0,0,,0,0,18,0,86,5810,,,,,,,,,,,,,,,
Ohio University-Chillicothe Campus,Ohio,,,,100,0,0,30,8456,7216,7604,9286,11737,11090,,,,,,,,,6004,,,"Public, 4-year or above",Four or more years,Public,0,1,3,2,0,85,0,1,18,,0,0,,60,0,19,0,89,5659,,,,,,,,,,,,,,,
Ohio University-Southern Campus,Ohio,,,,81,19,0,23,8181,6866,8279,9672,10714,11578,,,,,,,,,6004,,,"Public, 4-year or above",Four or more years,Public,0,0,3,2,0,83,0,1,21,,,,,50,0,21,,92,5623,,,,,,,,,,,,,,,
Ohio University-Lancaster Campus,Ohio,,,,99,1,1,21,7913,6353,6687,8271,11473,11971,,,,,,,,,6004,,,"Public, 4-year or above",Four or more years,Public,0,0,4,2,0,84,0,1,13,0,0,0,,13,0,13,,83,5572,,,,,,,,,,,,,,,
Ohio University-Main Campus,Ohio,7600,7194,,88,12,1,76,20207,14835,15783,19315,22033,22457,,,,,,,87,21,13352,29214,39582,"Public, 4-year or above",Four or more years,Public,0,2,6,4,0,78,4,2,65,40,68,68,,58,62,66,57,98,9416,550,600,640,530,580,630,22,24,27,21,23,27,20,24,26
Ohio University-Zanesville Campus,Ohio,,,,100,0,0,22,8076,7460,7566,8088,10262,11117,,,,,,,,,6004,,,"Public, 4-year or above",Four or more years,Public,0,1,4,2,0,84,1,1,19,,,,,0,0,20,,87,5509,,,,,,,,,,,,,,,
East Ohio College,Ohio,,,,61,39,0,86,,,,,,,14770,12887,,18014,20509,19909,,,13778,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,4,1,1,92,0,1,59,,,,,,,59,,100,6796,,,,,,,,,,,,,,,
Trinity Health System School of Nursing,Ohio,,,,60,40,0,80,,,,,,,7267,6022,,12648,15293,15293,100,83,9431,,,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,2,2,2,0,0,93,0,2,0,,,,,,,0,,100,5958,,,,,,,,,,,,,,,
Ohio Wesleyan University,Ohio,7370,6961,,66,27,7,99,,,,,,,27311,19684,23170,21601,24250,31918,52,16,49822,66607,66607,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,7,5,0,71,7,3,66,,65,67,50,69,64,67,75,100,36757,570,615,678,553,600,680,23,26,30,21,24,29,21,25,28
Otterbein University,Ohio,6444,5844,,88,12,0,95,,,,,,,22661,17995,17639,19850,22528,25875,84,17,34274,50630,50630,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,9,6,0,72,0,4,69,100,63,63,,58,69,72,75,100,24060,525,570,620,510,560,640,20,23,27,19,22,27,18,22,26
Owens Community College,Ohio,,,,95,5,0,62,8707,7909,8397,10372,12300,12559,,,,,,,,,5630,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,9,9,0,73,1,1,28,0,17,20,0,7,14,34,17,99,4758,,,,,,,,,,,,,,,
Paramount Beauty Academy,Ohio,,,,85,10,0,52,,,,,,,14627,15265,15209,14842,16016,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,9,0,0,91,0,0,73,,,,,,,,,77,2389,,,,,,,,,,,,,,,
Cuyahoga Valley Career Center,Ohio,,,,100,0,0,71,24164,24484,23765,,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,1,2,41,5,2,45,0,4,85,,,,,,,,,91,5259,,,,,,,,,,,,,,,
Payne Theological Seminary,Ohio,6000,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,0,92,1,0,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pontifical College Josephinum,Ohio,5988,5988,,67,33,0,13,,,,,,,,,,,,,88,86,26763,47439,47439,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,1,15,0,79,4,1,31,,,,,,,33,0,0,,,,,,,,,,,,,,,,
Professional Skills Institute,Ohio,,,,61,39,0,80,,,,,,,20640,20207,20719,16589,24172,24172,56,64,14309,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,0,2,54,4,0,33,0,2,77,,,,,83,50,77,,98,4274,,,,,,,,,,,,,,,
Firelands Regional Medical Center School of Nursing,Ohio,,,,,,,100,,,,,,,,,,,,,,,,,,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,3,0,6,4,0,81,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rabbinical College Telshe,Ohio,1000,2000,,33,59,7,90,,,,,,,11012,9103,,10750,8599,,90,93,13800,20900,20900,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,0,0,0,100,0,0,14,,,,,,,14,,92,9788,,,,,,,,,,,,,,,
Raphael's School of Beauty Culture Inc-Niles,Ohio,,,,74,26,0,66,,,,,,,16191,16191,,,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,1,38,3,0,55,0,1,55,,,,,33,100,55,,92,6003,,,,,,,,,,,,,,,
Fortis College-Centerville,Ohio,,,,100,0,0,92,,,,,,,23598,23217,23559,27487,,28950,,,16459,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,2,1,35,1,0,55,0,2,49,100,100,100,,40,0,51,,96,5557,,,,,,,,,,,,,,,
University of Rio Grande,Ohio,,,11166,82,9,9,65,,,,,,,26369,26363,27659,30735,32591,32989,,,20060,36454,36676,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,2,1,0,77,5,1,38,0,,,,11,,44,0,97,7178,,,,,,,,,,,,,,,
The Modern College of Design,Ohio,,,,89,11,0,79,,,,,,,37636,35113,36391,37990,39784,40743,99,25,31007,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,0,1,6,6,0,80,0,1,54,0,50,50,,29,50,57,,97,4639,,,,,,,,,,,,,,,
Shawnee State University,Ohio,6873,4450,,84,13,3,87,13313,11546,11631,15410,18025,18348,,,,,,,,,9341,26645,32990,"Public, 4-year or above",Four or more years,Public,0,0,2,0,0,45,0,0,35,25,50,50,,12,17,38,20,94,7718,,,,,,,,,,,,,,,
Sinclair Community College,Ohio,,,,97,1,3,51,5830,3874,4617,6773,8059,8565,,,,,,,,,3435,,,"Public, 4-year or above",Four or more years,Public,1,2,15,5,0,65,2,3,30,22,30,29,50,19,33,34,16,84,5241,,,,,,,,,,,,,,,
Hussian College-Daymar College Columbus,Ohio,,,,100,0,0,100,,,,,,,25870,25510,28590,25191,,29261,,,20283,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,38,0,0,12,8,0,82,,,,,76,100,100,,100,6601,,,,,,,,,,,,,,,
Stark State College,Ohio,,,,99,1,0,56,7364,6802,8088,7604,,,,,,,,,,,4548,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,3,11,4,0,72,0,3,20,17,22,21,33,8,24,24,,95,5909,,,,,,,,,,,,,,,
Stautzenberger College-Maumee,Ohio,,,,84,16,0,78,,,,,,,19541,20026,20774,23413,26420,26420,,,16699,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,25,3,0,41,0,0,53,,0,0,,42,0,59,,95,6417,,,,,,,,,,,,,,,
Franciscan University of Steubenville,Ohio,5250,4140,,17,82,1,90,,,,,,,25310,23289,18540,23737,23267,26327,67,41,31080,43540,43540,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,1,18,0,70,3,3,76,50,80,80,,67,76,77,50,99,16779,570,620,680,530,590,640,22,25,28,23,26,31,21,24,26
Southern State Community College,Ohio,,,,100,0,0,61,5983,6102,5975,8357,12306,11306,,,,,,,,,5612,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,1,2,0,91,0,1,31,,0,0,,0,75,33,,97,5884,,,,,,,,,,,,,,,
Terra State Community College,Ohio,,0,,84,5,1,45,12513,9692,10878,13227,15412,16906,,,,,,,,,5588,21522,25866,"Public, 2-year",At least 2 but less than 4 years,Public,1,0,7,1,0,72,0,1,26,0,,,,4,40,31,,92,5064,,,,,,,,,,,,,,,
Tiffin Academy of Hair Design,Ohio,,,,100,0,0,94,,,,,,,8987,7168,9739,12201,12702,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,3,3,3,0,93,0,3,76,,,,,,,,,89,4676,,,,,,,,,,,,,,,
Tiffin University,Ohio,6180,5520,,60,19,21,72,,,,,,,25636,22991,22536,27485,26865,28225,83,19,30120,46090,46090,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,16,1,0,49,5,2,45,50,67,67,,27,58,47,69,98,18830,,,,,,,,,,,,,,,
University of Toledo,Ohio,8635,4627,,74,17,8,79,17654,12899,14107,17281,19225,20167,,,,,,,92,18,12020,31502,40862,"Public, 4-year or above",Four or more years,Public,0,3,9,5,0,65,9,4,55,0,67,67,,28,39,61,71,97,10047,520,570,630,540,580,650,21,25,28,20,23,27,20,25,28
Tri-State Bible College,Ohio,,,,33,67,0,87,,,,,,,,,,,14768,,,,9100,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,10,5,0,81,0,0,,,,,,,,,,100,6650,,,,,,,,,,,,,,,
Tri-County Adult Career Center,Ohio,,,,100,0,0,28,14091,10832,,,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,0,0,0,0,98,0,0,70,,,,,,,,,87,5421,,,,,,,,,,,,,,,
Tri-Rivers Career Center,Ohio,,,,100,0,0,87,3688,,3688,,13430,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,0,4,3,0,93,0,0,71,,,,,,,,,86,3672,,,,,,,,,,,,,,,
Union Institute & University,Ohio,,,,23,73,5,93,,,,,,,28463,,,28463,,,,,17141,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,3,23,23,0,43,0,3,50,,,,,50,,60,,100,3217,,,,,,,,,,,,,,,
United Theological Seminary,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,21,4,0,17,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper Valley Career Center,Ohio,,,,100,0,0,50,17728,18448,19572,,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,1,0,12,6,0,79,0,0,64,,,,,,,,,89,6374,,,,,,,,,,,,,,,
Ursuline College,Ohio,6010,6032,,84,10,5,87,,,,,,,14502,13887,14013,15006,20638,20747,85,21,36816,51866,51866,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,4,23,1,0,59,3,4,48,,50,50,,26,100,53,83,100,32059,485,500,615,490,540,585,20,22,22,21,22,25,18,20,24
The North Coast College,Ohio,,,,100,0,0,89,,,,,,,22040,22040,,,,,88,86,22800,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,4,0,55,2,2,23,0,2,24,0,,,,17,50,30,,50,14895,,,,,,,,,,,,,,,
Walsh University,Ohio,5980,5720,,78,13,9,76,,,,,,,20032,13740,15172,16453,18909,21799,73,20,33235,48363,48363,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,6,3,0,54,6,1,58,0,50,50,,40,58,63,39,100,26172,500,570,640,530,600,680,20,24,26,19,22,26,19,24,27
Washington State Community College,Ohio,,,,70,30,0,43,7389,5916,7215,8185,10759,11956,,,,,,,,,4128,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,1,1,0,90,0,1,37,,0,,0,50,0,38,,86,4864,,,,,,,,,,,,,,,
Wilberforce University,Ohio,4000,3000,,30,34,0,83,,,,,,,14070,12339,17071,16834,15112,19883,45,20,13250,23450,23450,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,84,0,0,2,0,0,41,,,,,41,,0,,100,9380,430,450,470,410,460,470,14,16,18,11,15,18,15,16,18
Wilmington College,Ohio,5732,5138,,85,14,2,94,,,,,,,24528,22127,19963,25510,25732,27056,88,18,29490,44190,44190,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,11,3,0,75,2,1,51,,100,100,,24,14,57,56,100,16326,430,470,510,420,460,500,16,18,21,15,17,21,16,18,23
Winebrenner Theological Seminary,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,1,18,5,0,73,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Wittenberg University,Ohio,5760,5520,,78,21,0,97,,,,,,,22912,17264,17530,19614,23028,26217,94,14,43106,57586,57586,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,10,6,0,74,0,1,57,0,50,67,0,35,43,63,50,100,32632,535,600,680,515,600,690,21,25,28,22,26,30,20,25,28
The College of Wooster,Ohio,6550,6950,,32,51,17,96,,,,,,,28976,14697,17220,21865,27263,32373,56,14,57500,73250,73250,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,4,10,6,0,60,15,4,74,,89,94,0,76,69,73,74,98,42315,640,680,720,610,670,730,27,30,32,26,31,34,24,27,30
Wright State University-Main Campus,Ohio,5332,4896,,95,5,0,79,15650,11337,12454,15997,19892,21166,,,,,,,95,19,10864,26120,35538,"Public, 4-year or above",Four or more years,Public,0,4,11,4,0,65,11,4,44,0,40,40,50,28,34,49,43,94,8867,450,530,588,463,520,580,17,20,24,15,19,23,16,19,24
Wright State University-Lake Campus,Ohio,5216,,,97,2,0,77,11585,8384,8503,11474,13955,16033,,,,,,,100,41,7286,23356,32774,"Public, 4-year or above",Four or more years,Public,0,1,3,2,0,91,0,1,43,,50,100,0,0,0,45,,93,5775,,,,,,,17,21,24,16,20,22,17,20,25
Xavier University,Ohio,7520,6300,,43,56,1,89,,,,,,,31619,24344,21156,25918,27296,27363,85,9,45000,63320,63320,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,11,5,0,74,2,3,74,,65,63,100,45,76,77,68,100,27897,570,610,660,550,600,650,23,26,30,21,25,30,21,25,28
Youngstown State University,Ohio,,,10016,76,15,9,72,11900,8305,9511,12728,15512,15608,,,,,,,81,27,10478,25044,25404,"Public, 4-year or above",Four or more years,Public,0,2,8,4,0,74,5,2,49,0,77,80,0,31,37,52,33,100,7631,370,520,590,460,520,570,18,21,24,16,20,24,17,20,25
Bacone College,Oklahoma,3600,5000,,63,22,0,97,,,,,,,17114,16560,14445,17620,22645,20978,,,15060,31410,31410,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,55,0,8,5,0,10,3,0,99,68,300,300,,46,52,453,0,100,14052,,,,,,,,,,,,,,,
Oklahoma Wesleyan University,Oklahoma,4704,4414,,39,57,4,92,,,,,,,27590,24459,24753,25142,28730,29854,52,48,30262,44130,44130,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,7,1,9,9,0,53,8,1,34,10,0,0,,30,14,43,14,99,14983,460,510,550,470,520,550,17,19,22,15,18,21,16,17,22
